script,year,character,gender,line,stereotype_type
Haider,,Haider,male,Haider... you have really gone insane!,occupation_gap
Haider,,Salman,male,"Khurram nods, Salman and Salman drag him out as he",occupation_gap
Haider,,Ghazala,female,Ghazala cries as Khurram hugs her.,relationship_only
Haider,,Salman,male,"Salman and Salman escort Haider to the jeep, his hands tied",occupation_gap
Haider,,Haider,male,Haider as Salman 1 locks the back. Salman 2 starts the jeep.,occupation_gap
Haider,,Salman 1,male,"Parvez comes to the window and hands Salman 1, Haider’s",occupation_gap
Haider,,Salman,male,"Salman nods, the jeep drives away as Ghazala cries at the",relationship_only
Haider,,Salman,male,The jeep travels on a bumpy barren terrain. Salman and,occupation_gap
Haider,,Salman,male,Salman sing along to a hit Salman Khan song blaring on the,occupation_gap
Haider,,Haider,male,on their laps while Haider is seated on the opposite side.,relationship_only
Haider,,Salman,male,"The road gets bumpier, Salman tries to control the vehicle.",occupation_gap
Haider,,Haider,male,Haider seizes the moment and pounces onto the guards. A,agency_gap
Haider,,Haider,male,"guard falls over losing his grip on his gun, Haider grabs it,",occupation_gap
Haider,,Salman,male,the back from the front. Salman completely loses control of,occupation_gap
Haider,,Salman,male,out due to the collision. Salman and Salman take a peek,occupation_gap
Haider,,Haider,male,"behind to see Haider lie unconscious, they quickly get out",occupation_gap
Haider,,Salman,male,and head back to unlock the door. Salman 1 unlocks the,occupation_gap
Haider,,Salman,male,"open pushing Salman 1 back. He bangs into Salman 2, his",occupation_gap
Haider,,Haider,male,mufﬂer. He suddenly butts his head on his nose. Haider falls,occupation_gap
Haider,,Haider,male,Haider lunges for the pistol lying nearby. Both the Salmans,occupation_gap
Haider,,Haider,male,"Haider aims and ﬁres, missing both of them, he ﬁres a",occupation_gap
Haider,,Salman,male,from the back of his head. Salman 2 turns to him. Another,occupation_gap
Haider,,Haider,male,to see Haider running towards him with a few rocks in his,occupation_gap
Haider,,Salman,male,hands. Salman 2 runs. Salman 1 tries to get up but another,occupation_gap
Haider,,Haider,male,stone hits him hard. He falls again. Haider aims another,occupation_gap
Haider,,Haider,male,throw Haider is more violent and ﬁerce.,occupation_gap
Haider,,Salman 2,male,Teary-eyed Salman 2 drags himself over to Salman 1’s body.,agency_gap
Haider,,Salman,male,"He shakes Salman’s lifeless body violently, his own face full",occupation_gap
Haider,,Salman,male,of blood. Haider catches up behind them. Salman cries for,occupation_gap
Haider,,Haider,male,"Haider, hiding his face behind Parvez’s mufﬂer, speaks into",occupation_gap
Haider,,Haider,male,Haider puts the receiver back and moves to go out but stops.,occupation_gap
Haider,,Ghazala,female,The telephone rings loudly. Ghazala picks up the receiver.,occupation_gap
Haider,,Haider,male,Hello Haider... Where are you? Have you reached,occupation_gap
Haider,,Haider,male,We hear Haider’s choking voice at the other end.,occupation_gap
