script,year,character,gender,line,stereotype_type
Kaminey,,Mikhail,male,Now Mikhail joins the twins in their giggling fit.,none
Kaminey,,Francis,male,Marfatia and Francis splash water holding the iron bar at the,occupation_gap
Kaminey,,Karna,female,manzoor hai aur na shaadi... Karna,occupation_gap
Kaminey,,Mera,female,chupaya bhi hai.. Mera poora naam,relationship_only
Kaminey,,Shekhar Bhope,male,Sweety Shekhar Bhope hai aur mein..,appearance_focus
Kaminey,,Lele,female,"The scene is now intercut between him and Lobo, Lele inside",occupation_gap
Kaminey,,Francis,male,"The door opens and a slightly tipsy Francis enters, flanked",occupation_gap
Kaminey,,Francis,male,by Marfatia and two hefty associates. They see off Francis at,occupation_gap
Kaminey,,Francis,male,Francis shuts the door as his friends leave. He walks towards,occupation_gap
Kaminey,,Francis,male,"finishes and flushes the tank. As he turns around, Francis",occupation_gap
Kaminey,,Francis,male,punches him hard on the nose and Francis goes tumbling onto,agency_gap
Kaminey,,Francis,male,Francis turns to the door to run out but is punched hard by,occupation_gap
Kaminey,,Steve,male,Steve who keeps vigil there. Francis is pushed back and he,occupation_gap
Kaminey,,Francis,male,force and Francis gasps for air.,occupation_gap
Kaminey,,Francis,male,water. As Francis gasps for air he shoves him back into the,occupation_gap
Kaminey,,Steve,male,Steve checks Francis’ wallet for cash.,occupation_gap
Kaminey,,Francis,male,"Francis can reach for it, Charlie picks it up. Charlie",occupation_gap
Kaminey,,Steve,male,Steve ties up Francis on a chair while Charlie ransacks the,occupation_gap
Kaminey,,Steve,male,Steve finishes gagging Francis when the doorbell rings all of,occupation_gap
Kaminey,,Francis,male,a sudden. The men look at each other. Francis tries,occupation_gap
Kaminey,,Francis,male,The door opens and Francis is at the door to greet Marfatia’s,occupation_gap
Kaminey,,Francis,male,violently. Francis and the goons stumble and crash land on,occupation_gap
Kaminey,,Lele,female,"walks across the vehicle to inspect the commotion, while Lele",occupation_gap
Kaminey,,Steve,male,Lele’s only taken a few steps when Steve comes running of,occupation_gap
Kaminey,,Steve,male,"to help Steve up, who now lies buried under Lele’s lifeless",agency_gap
Kaminey,,Lele,female,"It’s barely moved a few paces when suddenly, Lele’s bloodied",occupation_gap
Kaminey,,Steve,male,Steve scampers out of the jeep. Charlie looks on haplessly.,agency_gap
Kaminey,,Lau,male,Lau bahut zaada lagta hai Bhau..,occupation_gap
Kaminey,,Ajay Kumar Sharma,male,Ajay Kumar Sharma.. putr Shri Shyam,occupation_gap
Kaminey,,Kumar Sharma,male,Kumar Sharma.. samast 25 crore devi,occupation_gap
Kaminey,,Mikhail,male,enters. He manages to spot Mikhail who’s partying hard with,occupation_gap
Kaminey,,Tina 1,female,Mere paas bhi hai.. do do.. Tina 1,relationship_only
Kaminey,,Mikhail,male,Mikhail cuts a bit of the packet and sprinkles some on the,occupation_gap
Kaminey,,Mikhail,male,Mikhail snorts the line and rubs his nose with the sleeve of,occupation_gap
Kaminey,,Mikhail,male,Mikhail grabs Charlie by his throat all of a sudden.,occupation_gap
Kaminey,,Mikhail,male,Mikhail goes to hit Charlie again but Charlie ducks and,occupation_gap
Kaminey,,Mikhail groans,male,punches him back. Mikhail groans in pain as he slides down to,agency_gap
Kaminey,,Mikhail,male,"Mikhail attacks Charlie again who defends with equal vigor,",occupation_gap
Kaminey,,Mikhail,male,Night Club Song - The music breaks into a SONG with Mikhail,none
Kaminey,,Lele,female,inside. Lobo looks blankly while Lele starts to shiver in,occupation_gap
Kaminey,,Mikhail,male,Mikhail’s car takes a turn to find a massive traffic jam.,occupation_gap
Kaminey,,Mikhail,male,Mikhail grins at him as he pours himself a whiskey peg.,occupation_gap
Kaminey,,Mikhail,male,Mikhail grins and offers his hand to Charlie for a bet.,occupation_gap
Kaminey,,Mikhail,male,Mikhail chuckles and takes a sudden sharp turn. The car jumps,occupation_gap
Kaminey,,Mikhail,male,horror as Mikhail races his car on the wrong side of the,occupation_gap
Kaminey,,Aila,female,Aila... main andar first aid box,occupation_gap
Kaminey,,Ahmed,male,Ahmed... I was in love with her...,occupation_gap
Kaminey,,Mikhail,male,to overtake. Mikhail swerves and squeezes the car ahead of,occupation_gap
Kaminey,,Mikhail,male,Mikhail wins the race and Charlie is left in a pool of mud.,occupation_gap
Kaminey,,Mikhail,male,"Mikhail comes out of the car, laughing triumphantly.",occupation_gap
Kaminey,,Mikhail,male,Mikhail is ecstatic as he shows the time to Charlie.,occupation_gap
Kaminey,,Mikhail,male,Mikhail sits next to Charlie on the ground. Charlie is still,occupation_gap
Kaminey,,Abbe f ko f nahi kehte,female,Abbe f ko f nahi kehte toh l,occupation_gap
Kaminey,,Lele,female,behind while Lele keeps staring at Guddu.,appearance_focus
Kaminey,,Mikhail,male,gape at him. Mikhail immediately whips his pistol out. Ganesh,occupation_gap
Kaminey,,Mikhail,male,Mikhail surveys the scene quietly and his gaze stops at,occupation_gap
Kaminey,,Mikhail tu ja..,male,Mikhail tu ja.. main aaya do minute,occupation_gap
Kaminey,,Mikhail,male,Mikhail looks at Bhope who swings nonchalantly on the,occupation_gap
Kaminey,,Mikhail,male,Hey Mikhail! Tu galat famajh raha,agency_gap
Kaminey,,Mikhail,male,Mikhail accepts the offer cautiously. Bhope’s man brings a,occupation_gap
Kaminey,,Mikhail,male,He offers the snack to Mikhail who picks one.,occupation_gap
Kaminey,,Mikhail,male,Mikhail laughs and looks at a petrified Charlie. Bhope pushes,agency_gap
Kaminey,,Mikhail sun,male,Mikhail sun tu chal main milta hoon,occupation_gap
Kaminey,,Mikhail,male,range at Mikhail. Mikhail is thrown back and he falls into,occupation_gap
Kaminey,,Mikhail,male,following the thin line of blood to see Mikhail slumped on,occupation_gap
Kaminey,,Mikhail,male,Mikhail guffaws and suddenly lifts himself up. He extends his,occupation_gap
Kaminey,,Mikhail,male,A surprised Ganesh backs off as Mikhail rolls back on the,occupation_gap
Kaminey,,Lele,female,Raincoat clad Lobo and Lele get off the car with Sweety and,occupation_gap
Kaminey,,Vada Pao’s Wrapped,female,few Vada Pao’s Wrapped in a newspaper to Guddu. Both he and,occupation_gap
