script,year,character,gender,line,stereotype_type
Highway,,Veera,female,"Veera crosses him, walks towards Mahabir. Aadoo quickly turns and slinks",agency_gap
Highway,,Veera,female,Veera realizes as she reaches behind that Mahabir is humming a tune. She,occupation_gap
Highway,,Veera,female,Veera notices that he is very tense.,occupation_gap
Highway,,Veera,female,"gathers himself, then walks down. But slows down. He can hear Veera humming his",occupation_gap
Highway,,Veera,female,"Veera comes to the edge of the terrace, humming the tune. Mahabir hides at",occupation_gap
Highway,,Veera,female,Mahabir tries to control himself with a tough attitude. Veera is putting words,occupation_gap
Highway,,Veera,female,"Mahabir driving the tempo, the memories in his mind. Veera sitting next to",occupation_gap
Highway,,Veera,female,Mahabir driving the tempo. Veera is singing the song. The song is choking,occupation_gap
Highway,,Veera,female,Veera hum in the beginning titles. The infant is crying. The lady is singing.,appearance_focus
Highway,,Veera,female,"moves in the day. Veera instantly puts her hand on his forehead, strokes his head. He",appearance_focus
Highway,,Veera,female,Veera singing the song in the journey.,appearance_focus
Highway,,Veera,female,Veera walks into the market place of a hill town called Rampur under the,occupation_gap
Highway,,Veera,female,"Mahabir gives money to the shopkeeper, then looks around. Veera is sitting",occupation_gap
Highway,,Veera,female,The tempo is parked on a street corner. Aadoo opens the rear flap. Veera,occupation_gap
Highway,,Veera,female,"Veera, sitting on the front seat of the tempo, looking at the song list on the",occupation_gap
Highway,,Veera,female,"your girlfriend was hot like me’. Mahabir sees that Veera is on the front seat, listening",appearance_focus
Highway,,Veera,female,to the music. Aadoo is on the ground on the other side. Veera starts to get with the,none
Highway,,Veera,female,"looks back at her. Veera is full out pumping the dance, it has been a while for her. She",appearance_focus
Highway,,Veera,female,Veera notices a soft attitude in Mahabir towards her. She instantly moves to,relationship_only
Highway,,Veera,female,"Mahabir takes Veera forward, looking around. They are carrying their bags.",occupation_gap
Highway,,Veera,female,"He nods, looks at Mahabir, nods to him. Mahabir turns around, Veera follows,",occupation_gap
Highway,,Veera,female,"Veera is wondering where they are going. Mahabir is walking, looking down.",relationship_only
Highway,,Veera,female,"Veera is subtly looking around as she walks, also casting glances at Mahabir,",agency_gap
Highway,,Mari,female,"Mari jindagi khatam ae kuch na ho sake ae, theek na ho sake, bas mar",occupation_gap
Highway,,Veera,female,"Veera is standing in front of the police constable, blank.",agency_gap
Highway,,Veera,female,The constable steps up to Veera.,occupation_gap
Highway,,Veera,female,Veera closes her eyes for a moment. Pause.,occupation_gap
Highway,,Veera,female,"Veera opens her eyes, a rush of various thoughts in her brain. The other",relationship_only
Highway,,Veera,female,Veera standing in the police station compound.,occupation_gap
Highway,,Veera,female,The police men are seen reacting in surprise behind as Veera crosses the lane,occupation_gap
Highway,,Veera,female,Veera paces up in great hurry as people notice.,occupation_gap
Highway,,Veera,female,"Veera’s face as she sits in the trekker, looks forward anxiously. She has to",appearance_focus
Highway,,Veera,female,"The road ahead, from Veera’s point of view.",occupation_gap
Highway,,Veera,female,"It is Veera on the platform in the distance, looking around for him in panic,",relationship_only
Highway,,Vahan ja ke khadi ho ja,male,"(cuts her) Vahan ja ke khadi ho ja, bench ke paas.",appearance_focus
Highway,,Veera,female,"Veera joins them, helps an old woman get up.",occupation_gap
Highway,,Veera,female,"Veera is sitting on the aisle seat next to the old woman, waiting for Mahabir.",relationship_only
Highway,,Veera,female,"Veera gets off. Mahabir gets off a little behind her. She looks towards him,",relationship_only
Highway,,Veera,female,Veera is reclined on the back of the parked bus. She is looking down in,appearance_focus
Highway,,Bas aisa lag,male,Shaadi ka bhi nahin hai. Plan nahin hai... Bas aisa lag raha hai ki thoda,relationship_only
Highway,,Veera,female,Veera and Mahabir sitting on the bus top. After a while she puts his arm around,relationship_only
Highway,,Veera,female,"The sun is setting in the hills. Veera walks up a cliff, looking at the sun.",occupation_gap
Highway,,Veera,female,"On the aisle floor Veera is lying down, wrapped in a blanket. Directly ahead",appearance_focus
Highway,,Veera,female,"Veera sleeping in the rear seat, Mahabir sitting in front.",occupation_gap
Highway,,Veera,female,"Veera is sitting at a distance from the monastery, looking ahead. Mahabir",occupation_gap
Highway,,Veera,female,Veera and Mahabir are seen walking towards it.,occupation_gap
Highway,,Veera,female,"Veera is sitting on the path, looking at Mahabir. He is sitting on the side.",occupation_gap
Highway,,Veera,female,"Veera and Mahabir sitting on the mountain slope, taking a break from the",occupation_gap
Highway,,Veera,female,A deserted post in the snow. Veera and Mahabir walk towards it.,occupation_gap
Highway,,Veera,female,"whistle is heard. Veera looks up from his shoulder, listening to the whistle. He is",occupation_gap
Highway,,Veera,female,"Veera and Mahabir walking the rocky path in the midst of sheep, horses and",occupation_gap
Highway,,Veera,female,Gushing wild water stream. Veera walks up a rock in stream. She clambers on,occupation_gap
Highway,,Veera,female,"laughs more, talks to it. The madly rushing water in the magnificent valley. Veera sits",relationship_only
Highway,,Veera,female,Veera sits on a rock on a cliff near the stream. The flock has camped here for,occupation_gap
