script,year,character,gender,line,stereotype_type
NEERJA,,Hanif,male,other to sit with Hanif but he is busy stowing the many,occupation_gap
NEERJA,,Tina,female,An executive looking foreigner [who Tina was checking out,occupation_gap
NEERJA,,Tina,female,As Tina takes the boarding pass from the foreigner- Carl,occupation_gap
NEERJA,,Carl,male,Carl smiles as Tina blushes and then stops when Neerja,relationship_only
NEERJA,,Gopal,male,Gopal is helping his 5 month pregnant wife Babita into,occupation_gap
NEERJA,,Babita,female,Gopal insists on taking Babita’s bag.,occupation_gap
NEERJA,,Tina,female,The camera shows Tina serving Carl Malone a drink. He,occupation_gap
NEERJA,,Tina,female,looks at her and smiles flirtatiously and so does Tina.,appearance_focus
NEERJA,,Mera,female,Good morning to all of you. Mera,relationship_only
NEERJA,,Jack Snipes,male,Naam hai captain Jack Snipes And,occupation_gap
NEERJA,,Fahad,male,He gives Khalil a dirty look then addresses Fahad and,occupation_gap
NEERJA,,Ali,male,Imran Ali pretends to be upset.,occupation_gap
NEERJA,,Fahad,male,van while Fahad and Mansoor are sitting behind.,occupation_gap
NEERJA,,Tina,female,People are still settling down and Neerja tells Tina to,occupation_gap
NEERJA,,Imran Ali,male,Imran Ali approaches Neerja waiting at the starboard,occupation_gap
NEERJA,,Tayyar,male,Lambi flight aur itna load? Tayyar,occupation_gap
NEERJA,,Imran Ali,male,Imran Ali excitedly takes them and looks at the titles.,occupation_gap
NEERJA,,Imran Ali,male,Neerja pushes Imran Ali to the side and moves towards the,agency_gap
NEERJA,,Mansoor,male,as Fahad and Mansoor are hitting some passengers with,occupation_gap
NEERJA,,Tina,female,shield. Debina shrieks and Tina is scared too. Safirini,occupation_gap
NEERJA,,Rahul Kumar,male,Rahul Kumar gets up to stop Khalil.,occupation_gap
NEERJA,,Mansoor,male,"Fahad, Mansoor and Safirini are pulling, dragging,",occupation_gap
NEERJA,,Hussain ki,male,Hussain ki jail se rihain dilwaa,occupation_gap
NEERJA,,Tina,female,Khalil quickly drags Tina to the front section and orders,occupation_gap
NEERJA,,Rahul Kumar,male,"He reaches Rahul Kumar, remembers him from earlier and",occupation_gap
NEERJA,,Rahul Kumar,male,Rahul Kumar from his seat. Rahul resist’s and the,occupation_gap
NEERJA,,Rahul Kumar,male,Rahul Kumar is trying to wrestle out of Safirini’s,occupation_gap
NEERJA,,Rahul Kumar,male,"scream in pain, makes her kneel down next to Rahul Kumar,",relationship_only
NEERJA,,Rahul Kumar,male,still pleading Rahul Kumar and Neerja’s face. She can,agency_gap
NEERJA,,Rahul Kumar,male,Inzamam watches the door half open and sees Rahul Kumar,occupation_gap
NEERJA,,Rahul Kumar,male,head. Rahul Kumar still crying- reactions of the,occupation_gap
