script,year,character,gender,line,stereotype_type
Haider,,Shiraz,male,detained at the Shiraz cinema camp…,occupation_gap
Haider,,Ghazala,female,Ghazala sees the soldier raising the barricade letting the,occupation_gap
Haider,,Ghazala,female,Surgical instruments are boiling in a pot. Ghazala stands,occupation_gap
Haider,,Ghazala,female,"silent, Ghazala has a sense of paranoia in her demeanour.",appearance_focus
Haider,,Ghazala,female,in with a bunch of other surgical tools in a tray. Ghazala,occupation_gap
Haider,,Ghazala,female,Ghazala starts putting the instruments from the boiling,occupation_gap
Haider,,Ghazala,female,It’s well into the night. Ghazala waits in the balcony under,relationship_only
Haider,,Ghazala,female,blood in the bowl. He hands it over to Ghazala and climbs,occupation_gap
Haider,,Ghazala,female,Ghazala is left alone with the blood-ﬁlled bowl. Looking,appearance_focus
Haider,,Ghazala,female,Ghazala throws up violently in the wash basin. She stops,appearance_focus
Haider,,Ghazala,female,Ghazala looks at the ringing telephone.,appearance_focus
Haider,,Gul Khan,female,Salam alaikum! This is Gul Khan. The army has,occupation_gap
Haider,,Ghazala,female,A startled Ghazala wakes up hearing the distant sound of,occupation_gap
Haider,,Ghazala,female,Ghazala watches as Hilaal hides the collapsible staircase.,occupation_gap
Haider,,Ghazala,female,"towards the exit. Ghazala stands near the door, scratching",appearance_focus
Haider,,Ghazala,female,in his raised hands. Ghazala watches from a distance.,relationship_only
Haider,,Ghazala,female,Ghazala cautiously opens the door and walks nervously,appearance_focus
Haider,,Ghazala,female,Ghazala is standing anxiously on the edge of the circle of,occupation_gap
Haider,,Ghazala,female,Hilaal towards the Major. Hilaal sees Ghazala and their eyes,occupation_gap
Haider,,Major,male,Soldiers retaliate to the ﬁring. The Major rushes towards the,occupation_gap
Haider,,Haider,male,Haider stands in a queue with his rucksack on the shoulders,occupation_gap
Haider,,Haider,male,Haider takes out his university ID from his wallet. The,occupation_gap
Haider,,Haider,male,History department of Aligarh Muslim University. Haider is,occupation_gap
Haider,,Haider,male,A soldier walks in. Haider looks at him.,occupation_gap
Haider,,Haider,male,"I swear, Haider, that Masala Dosa wouldn’t budge.",appearance_focus
Haider,,Haider,male,No reaction from Haider. She turns a bend and stops the car,agency_gap
Haider,,Haider,male,weapons. They cross a half-burnt structure. Haider is,occupation_gap
Haider,,Haider,male,Haider… are you serious? You've changed…,occupation_gap
Haider,,Haider,male,Haider puts his hand on the steering wheel.,occupation_gap
Haider,,Haider,male,"Haider stands shocked opposite the burnt, torn-down",occupation_gap
Haider,,Ghazala,female,match in the attic as Ghazala calls out to them for lunch.,relationship_only
Haider,,Haider,male,"- Dawn, young Haider crawls into bed in between Ghazala",relationship_only
Haider,,Haider,male,- Hilaal displays a ten-rupee note to a sheepish young Haider.,occupation_gap
Haider,,Haider,male,"He urges Haider on to ﬁnish the poem, the boy thinks hard.",occupation_gap
Haider,,Ghazala,female,"a photo of Hilaal, Ghazala and Haider.",relationship_only
Haider,,Haider,male,Haider is crying in Arshia’s arms. She comforts him. He,relationship_only
Haider,,Haider,male,Haider and Arshia still in each other’s arms.,relationship_only
Haider,,Haider,male,Liyaqat angrily walks up to them and pushes Haider hard;,agency_gap
Haider,,Haider,male,"Before he can ﬁnish his sentence, Haider pushes him back.",occupation_gap
Haider,,Haider,male,towards Haider like an animal. Arshia comes in the middle.,agency_gap
Haider,,Haider,male,Liyaqat looks at Haider and then Arshia. A beat. He,occupation_gap
Haider,,Haider,male,Alright… but you have to stop seeing Haider.,agency_gap
Haider,,Haider,male,with Haider… but you can't be in love with him..,relationship_only
Haider,,Haider,male,the corridor. A face Haider recognizes and knows well. The,occupation_gap
Haider,,Ghazala,female,Ghazala shakes her head to say no. Khurram presses her,agency_gap
